股票代碼,股票名稱,現價,10日前,10日%,20日前,20日%,10日均,10日均-5%,狀態,低於10日,距10日均%,RSI,今日高,今日低,成交量,均量,量比,52週高,52週低,本益比,市值,前1日,前1日%,前2日,前2日%,前3日,前3日%,前4日,前4日%,前5日,前5日%,前6日,前6日%,前7日,前7日%,更新時間
ORCL,Oracle,184.13,225.78,-18.45,195.61,-5.87,216.02,205.22,觸發加碼,Alert,-14.76,47.1,185.58,179.0,29498000,25367397,1.16,325.76,136.0,31.53,529.6B,184.1,-8.53,201.26,-2.21,205.81,-2.84,211.82,-0.87,213.68,-9.59,236.34,2.61,230.33,-5.83,2026-06-15T12:20:39
USAR,USAR,21.99,28.01,-21.49,24.83,-11.44,24.57,23.34,觸發加碼,Alert,-10.5,42.1,22.88,21.29,14307300,17975282,0.8,38.68,9.61,,5.4B,22.56,10.97,20.33,-2.73,20.9,-5.9,22.21,-1.16,22.47,-17.08,27.1,-3.15,27.98,-8.86,2026-06-15T12:20:39
UUUU,Energy Fuels,15.04,18.22,-17.45,19.5,-22.87,16.1,15.29,觸發加碼,Alert,-6.58,36.2,15.37,14.82,6717100,10624460,0.63,27.72,5.41,,3.8B,15.08,10.15,13.69,-4.73,14.37,-5.52,15.21,1.2,15.03,-13.47,17.37,-3.5,18.0,-7.88,2026-06-15T12:20:39
GLD,SPDR Gold ETF,386.54,417.12,-7.33,427.21,-9.52,397.41,377.54,觀察中,OBS,-2.74,32.7,388.77,383.35,7521700,6747377,1.11,495.9,300.96,,,386.32,3.13,374.58,-4.15,390.78,-1.63,397.27,0.26,396.24,-3.65,411.27,0.83,407.87,-0.99,2026-06-15T12:20:39
B,Barnes Group,40.2,42.55,-5.52,42.98,-6.47,40.47,38.45,觀察中,OBS,-0.67,49.0,40.44,39.03,13189000,13617265,0.97,52.32,20.0,11.1,67.5B,39.1,5.14,37.19,-5.01,39.15,-0.79,39.46,0.0,39.46,-7.78,42.79,2.22,41.86,-3.1,2026-06-15T12:20:39
AEM,Agnico Eagle,162.64,182.7,-10.98,192.19,-15.38,166.25,157.94,觸發加碼,OBS,-2.17,41.3,164.7,157.4,3811300,2456985,1.55,251.57,115.04,15.31,81.3B,157.76,3.46,152.48,-4.66,159.93,-1.34,162.11,-0.95,163.66,-7.41,176.75,2.97,171.65,-4.07,2026-06-15T12:20:39
COHR,Coherent Corp,385.03,361.47,6.52,404.94,-4.92,386.74,367.4,觀察中,OBS,-0.44,51.5,394.5,354.19,5378800,6420542,0.84,426.89,77.37,181.62,75.3B,363.58,2.48,354.77,-0.33,355.94,-11.44,401.93,6.62,376.99,-10.64,421.9,1.07,417.43,-2.22,2026-06-15T12:20:39
LITE,Lumentum,921.56,854.96,7.79,1001.81,-8.01,906.25,860.94,觀察中,OBS,1.69,48.1,934.26,863.0,4553700,6157997,0.74,1053.09,82.46,161.39,71.7B,889.59,4.26,853.26,3.83,821.76,-8.22,895.4,3.68,863.66,-8.62,945.08,0.75,938.0,-8.86,2026-06-15T12:20:39
APLD,Applied Digital,42.7,47.28,-9.69,46.71,-8.58,43.02,40.87,觀察中,OBS,-0.74,43.8,44.95,40.88,22661000,22631780,1.0,49.65,9.18,,12.2B,41.47,6.55,38.92,-7.13,41.91,2.37,40.94,3.33,39.62,-10.26,44.15,-1.25,44.71,-6.58,2026-06-15T12:20:39
CRWD,CrowdStrike,682.8,731.0,-6.59,579.95,17.73,701.46,666.39,觀察中,OBS,-2.66,52.7,702.17,678.0,2310900,3359202,0.69,782.17,350.25,,173.8B,691.53,6.76,647.74,0.44,644.93,-2.1,658.79,-1.82,671.02,-6.68,719.09,-3.81,747.61,-2.78,2026-06-15T12:20:39
